"Category","Item","Serving.Size","Calories","Calories.from.Fat","Total.Fat","Saturated.Fat","Trans.Fat","Cholesterol","Carbohydrates","Dietary.Fiber","Sugars","Protein","Sodium_DV","Vitamin.A_DV","Vitamin.C_DV","Calcium_DV","Iron_DV","Quantity","Size"
"Breakfast","Steak & Egg Biscuit (Regular Biscuit)","7.1 oz (201 g)",540,290,32,16,1,280,38,2,3,25,61,10,2,20,25,201,NA
"Breakfast","Bacon, Egg & Cheese McGriddles","6.1 oz (174 g)",460,190,21,9,0,250,48,2,15,19,52,10,10,20,15,174,NA
"Breakfast","Bacon, Egg & Cheese McGriddles with Egg Whites","6.3 oz (178 g)",400,140,15,7,0,35,47,2,16,20,52,2,10,15,10,178,NA
"Breakfast","Sausage McGriddles","5 oz (141 g)",420,200,22,8,0,35,44,2,15,11,43,0,0,8,10,141,NA
"Breakfast","Sausage, Egg & Cheese McGriddles","7.1 oz (201 g)",550,280,31,12,0,265,48,2,15,20,55,10,0,20,15,201,NA
"Breakfast","Sausage, Egg & Cheese McGriddles with Egg Whites","7.2 oz (205 g)",500,230,26,10,0,50,46,2,15,21,55,2,0,20,10,205,NA
"Breakfast","Bacon, Egg & Cheese Bagel","6.9 oz (197 g)",620,280,31,11,0.5,275,57,3,7,30,62,20,15,20,20,197,NA
"Breakfast","Bacon, Egg & Cheese Bagel with Egg Whites","7.1 oz (201 g)",570,230,25,9,0.5,60,55,3,8,30,62,10,15,20,15,201,NA
"Breakfast","Steak, Egg & Cheese Bagel","8.5 oz (241 g)",670,310,35,13,1.5,295,56,3,7,33,63,20,4,25,25,241,NA
"Breakfast","Big Breakfast (Regular Biscuit)","9.5 oz (269 g)",740,430,48,17,0,555,51,3,3,28,65,15,2,15,25,269,NA
"Breakfast","Big Breakfast (Large Biscuit)","10 oz (283 g)",800,470,52,18,0,555,56,4,3,28,70,15,2,15,30,283,NA
"Breakfast","Big Breakfast with Egg Whites (Regular Biscuit)","9.6 oz (272 g)",640,330,37,14,0,35,50,3,3,26,66,0,2,10,15,272,NA
"Breakfast","Big Breakfast with Egg Whites (Large Biscuit)","10.1 oz (286 g)",690,370,41,14,0,35,55,4,4,26,71,4,2,10,15,286,NA
"Breakfast","Big Breakfast with Hotcakes (Regular Biscuit)","14.8 oz (420 g)",1090,510,56,19,0,575,111,6,17,36,90,15,2,25,40,420,NA
"Breakfast","Big Breakfast with Hotcakes (Large Biscuit)","15.3 oz (434 g)",1150,540,60,20,0,575,116,7,17,36,94,15,2,30,40,434,NA
"Breakfast","Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)","14.9 oz (423 g)",990,410,46,16,0,55,110,6,17,35,91,0,2,25,30,423,NA
"Breakfast","Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)","15.4 oz (437 g)",1050,450,50,16,0,55,115,7,18,35,95,4,2,25,30,437,NA
"Breakfast","Hotcakes","5.3 oz (151 g)",350,80,9,2,0,20,60,3,14,8,24,0,0,15,15,151,NA
"Breakfast","Hotcakes and Sausage","6.8 oz (192 g)",520,210,24,7,0,50,61,3,14,15,39,0,0,15,15,192,NA
"Breakfast","Sausage Burrito","3.9 oz (111 g)",300,150,16,7,0,115,26,1,2,12,33,10,2,15,15,111,NA
"Breakfast","Hash Brown","2 oz (56 g)",150,80,9,1.5,0,0,15,2,0,1,13,0,2,0,2,56,NA
"Breakfast","Cinnamon Melts","4 oz (114 g)",460,170,19,9,0,15,66,3,32,6,15,4,0,6,15,114,NA
"Breakfast","Fruit & Maple Oatmeal","9.6 oz (251 g)",290,35,4,1.5,0,5,58,5,32,5,7,2,130,10,10,251,NA
"Breakfast","Fruit & Maple Oatmeal without Brown Sugar","9.6 oz (251 g)",260,40,4,1.5,0,5,49,5,18,5,5,2,130,6,10,251,NA
"Beef & Pork","Big Mac","7.4 oz (211 g)",530,240,27,10,1,85,47,3,9,24,40,6,2,25,25,211,NA
"Beef & Pork","Quarter Pounder with Cheese","7.1 oz (202 g)",520,240,26,12,1.5,95,41,3,10,30,46,10,2,30,25,202,NA
"Beef & Pork","Quarter Pounder with Bacon & Cheese","8 oz (227 g)",600,260,29,13,1.5,105,48,3,12,37,60,6,15,25,30,227,NA
"Beef & Pork","Quarter Pounder with Bacon Habanero Ranch","8.3 oz (235 g)",610,280,31,13,1.5,105,46,3,10,37,49,8,20,25,30,235,NA
"Beef & Pork","Quarter Pounder Deluxe","8.6 oz (244 g)",540,250,27,11,1.5,85,45,3,9,29,40,10,8,25,30,244,NA
"Beef & Pork","Double Quarter Pounder with Cheese","10 oz (283 g)",750,380,43,19,2.5,160,42,3,10,48,53,10,2,30,35,283,NA
"Beef & Pork","Hamburger","3.5 oz (98 g)",240,70,8,3,0,30,32,1,6,12,20,2,2,10,15,98,NA
"Beef & Pork","Cheeseburger","4 oz (113 g)",290,100,11,5,0.5,45,33,2,7,15,28,6,2,20,15,113,NA
"Beef & Pork","Double Cheeseburger","5.7 oz (161 g)",430,190,21,10,1,90,35,2,7,24,43,10,2,30,20,161,NA
"Beef & Pork","Bacon Clubhouse Burger","9.5 oz (270 g)",720,360,40,15,1.5,115,51,4,14,39,61,8,25,30,25,270,NA
"Beef & Pork","McDouble","5.2 oz (147 g)",380,150,17,8,1,75,34,2,7,22,35,6,2,20,20,147,NA
"Beef & Pork","Bacon McDouble","5.7 oz (161 g)",440,200,22,10,1,90,35,2,7,27,46,6,10,20,20,161,NA
"Beef & Pork","Daily Double","6.7 oz (190 g)",430,200,22,9,1,80,34,2,7,22,32,8,8,20,20,190,NA
"Beef & Pork","Jalapeño Double","5.6 oz (159 g)",430,210,23,9,1,80,35,2,6,22,43,6,8,20,20,159,NA
"Beef & Pork","McRib","7.3 oz (208 g)",500,240,26,10,0,70,44,3,11,22,41,2,2,15,20,208,NA
"Chicken & Fish","Premium Crispy Chicken Classic Sandwich","7.5 oz (213 g)",510,200,22,3.5,0,45,55,3,10,24,41,4,6,15,20,213,NA
"Chicken & Fish","Premium Grilled Chicken Classic Sandwich","7 oz (200 g)",350,80,9,2,0,65,42,3,8,28,34,4,8,15,20,200,NA
"Chicken & Fish","Premium Crispy Chicken Club Sandwich","8.8 oz (249 g)",670,300,33,9,0,85,58,3,11,36,59,8,20,30,20,249,NA
"Chicken & Fish","Premium Grilled Chicken Club Sandwich","8.3 oz (235 g)",510,180,20,7,0,105,44,3,9,40,52,8,20,30,20,235,NA
"Chicken & Fish","Premium Crispy Chicken Ranch BLT Sandwich","8.1 oz (230 g)",610,250,28,6,0,70,57,3,11,32,58,4,20,15,20,230,NA
"Chicken & Fish","Premium Grilled Chicken Ranch BLT Sandwich","7.6 oz (217 g)",450,130,15,4.5,0,90,43,3,9,36,51,4,20,15,20,217,NA
"Chicken & Fish","Bacon Clubhouse Crispy Chicken Sandwich","10 oz (284 g)",750,340,38,10,0.5,90,65,4,16,36,72,8,25,30,15,284,NA
"Chicken & Fish","Bacon Clubhouse Grilled Chicken Sandwich","9.5 oz (270 g)",590,230,25,8,0,110,51,4,14,40,65,8,30,30,15,270,NA
"Chicken & Fish","Southern Style Crispy Chicken Sandwich","5.6 oz (160 g)",430,170,19,3,0,45,43,2,7,21,38,4,2,15,15,160,NA
"Chicken & Fish","McChicken","5.1 oz (143 g)",360,140,16,3,0,35,40,2,5,14,33,0,2,10,15,143,NA
"Chicken & Fish","Bacon Cheddar McChicken","6 oz (171 g)",480,220,24,7,0,65,43,2,6,22,53,4,10,20,15,171,NA
"Chicken & Fish","Bacon Buffalo Ranch McChicken","5.7 oz (161 g)",430,190,21,5,0,50,41,2,6,20,53,2,10,15,15,161,NA
"Chicken & Fish","Buffalo Ranch McChicken","5.2 oz (148 g)",360,150,16,3,0,35,40,2,5,14,41,2,2,15,15,148,NA
"Chicken & Fish","Premium McWrap Chicken & Bacon (Crispy Chicken)","11.1 oz (316 g)",630,280,32,9,0.5,80,56,3,7,32,64,60,20,20,20,316,NA
"Chicken & Fish","Premium McWrap Chicken & Bacon (Grilled Chicken)","10.7 oz (302 g)",480,170,19,7,0,95,42,3,6,36,57,60,25,20,20,302,NA
"Chicken & Fish","Premium McWrap Chicken & Ranch (Crispy Chicken)","10.9 oz (310 g)",610,280,31,8,0.5,65,56,3,8,27,56,60,15,20,20,310,NA
"Chicken & Fish","Premium McWrap Chicken & Ranch (Grilled Chicken)","10.5 oz (297 g)",450,160,18,6,0.5,80,42,3,6,30,49,60,15,15,20,297,NA
"Chicken & Fish","Premium McWrap Southwest Chicken (Crispy Chicken)","11.1 oz (314 g)",670,300,33,8,0.5,60,68,5,12,27,62,60,15,20,20,314,NA
"Chicken & Fish","Premium McWrap Southwest Chicken (Grilled Chicken)","11.2 oz (318 g)",520,180,20,6,0,80,55,5,10,31,55,70,15,20,20,318,NA
"Chicken & Fish","Premium McWrap Chicken Sweet Chili (Crispy Chicken)","10.7 oz (304 g)",540,200,23,4.5,0,50,61,3,14,23,52,60,15,8,20,304,NA
"Chicken & Fish","Premium McWrap Chicken Sweet Chili (Grilled Chicken)","10.3 oz (291 g)",380,90,10,3,0,65,47,3,12,27,45,60,15,8,20,291,NA
"Chicken & Fish","Chicken McNuggets (4 piece)","2.3 oz (65 g)",190,110,12,2,0,25,12,1,0,9,15,0,2,0,2,65,NA
"Chicken & Fish","Chicken McNuggets (6 piece)","3.4 oz (97 g)",280,160,18,3,0,40,18,1,0,13,22,0,2,2,4,97,NA
"Chicken & Fish","Chicken McNuggets (10 piece)","5.7 oz (162 g)",470,270,30,5,0,65,30,2,0,22,37,0,4,2,6,162,NA
"Chicken & Fish","Chicken McNuggets (20 piece)","11.4 oz (323 g)",940,530,59,10,0,135,59,3,0,44,75,0,8,4,10,323,NA
"Chicken & Fish","Chicken McNuggets (40 piece)","22.8 oz (646 g)",1880,1060,118,20,1,265,118,6,1,87,150,0,15,8,25,646,NA
"Chicken & Fish","Filet-O-Fish","5 oz (142 g)",390,170,19,4,0,40,39,2,5,15,24,2,0,15,10,142,NA
"Salads","Premium Bacon Ranch Salad (without Chicken)","7.9 oz (223 g)",140,70,7,3.5,0,25,10,3,4,9,13,170,30,15,6,223,NA
"Salads","Premium Bacon Ranch Salad with Crispy Chicken","9 oz (255 g)",380,190,21,6,0,70,22,2,5,25,36,100,25,15,8,255,NA
"Salads","Premium Bacon Ranch Salad with Grilled Chicken","8.5 oz (241 g)",220,80,8,4,0,85,8,2,4,29,29,110,30,15,8,241,NA
"Salads","Premium Southwest Salad (without Chicken)","8.1 oz (230 g)",140,40,4.5,2,0,10,20,6,6,6,6,160,25,15,10,230,NA
"Salads","Premium Southwest Salad with Crispy Chicken","12.3 oz (348 g)",450,190,22,4.5,0,50,42,7,12,23,35,170,30,15,15,348,NA
"Salads","Premium Southwest Salad with Grilled Chicken","11.8 oz (335 g)",290,80,8,2.5,0,70,28,7,10,27,28,170,30,15,15,335,NA
"Snacks & Sides","Chipotle BBQ Snack Wrap (Crispy Chicken)","4.6 oz (130 g)",340,130,15,4.5,0,30,37,1,8,14,33,4,0,10,10,130,NA
"Snacks & Sides","Chipotle BBQ Snack Wrap (Grilled Chicken)","4.3 oz (123 g)",260,70,8,3.5,0,40,30,1,7,16,29,4,2,10,10,123,NA
"Snacks & Sides","Honey Mustard Snack Wrap (Crispy Chicken)","4.3 oz (123 g)",330,130,15,4.5,0,35,34,1,3,14,30,2,0,10,10,123,NA
"Snacks & Sides","Honey Mustard Snack Wrap (Grilled Chicken)","4.1 oz (116 g)",250,70,8,3.5,0,45,27,1,2,16,27,2,2,10,10,116,NA
"Snacks & Sides","Ranch Snack Wrap (Crispy Chicken)","4.5 oz (128 g)",360,180,20,5,0,40,32,1,3,15,34,2,0,10,10,128,NA
"Snacks & Sides","Ranch Snack Wrap (Grilled Chicken)","4.3 oz (121 g)",280,120,13,4.5,0,45,25,1,2,16,30,2,2,10,10,121,NA
"Snacks & Sides","Small French Fries","2.6 oz (75 g)",230,100,11,1.5,0,0,30,2,0,2,5,0,30,0,4,75,NA
"Snacks & Sides","Medium French Fries","3.9 oz (111 g)",340,140,16,2.5,0,0,44,4,0,4,8,0,45,2,4,111,NA
"Snacks & Sides","Large French Fries","5.9 oz (168 g)",510,220,24,3.5,0,0,67,5,0,6,12,0,70,2,8,168,NA
"Snacks & Sides","Kids French Fries","1.3 oz (38 g)",110,50,5,1,0,0,15,1,0,1,3,0,15,0,2,38,NA
"Snacks & Sides","Side Salad","3.1 oz (87 g)",20,0,0,0,0,0,4,1,2,1,0,45,25,2,4,87,NA
"Snacks & Sides","Apple Slices","1.2 oz (34 g)",15,0,0,0,0,0,4,0,3,0,0,0,160,2,0,34,NA
"Snacks & Sides","Fruit 'n Yogurt Parfait","5.2 oz (149 g)",150,20,2,1,0,5,30,1,23,4,3,2,15,10,4,149,NA
"Desserts","Baked Apple Pie","2.7 oz (77 g)",250,110,13,7,0,0,32,4,13,2,7,4,25,2,6,77,NA
"Desserts","Chocolate Chip Cookie","1 cookie (33 g)",160,70,8,3.5,0,10,21,1,15,2,4,2,0,2,8,33,NA
"Desserts","Oatmeal Raisin Cookie","1 cookie (33 g)",150,50,6,2.5,0,10,22,1,13,2,6,2,0,2,6,33,NA
"Desserts","Kids Ice Cream Cone","1 oz (29 g)",45,10,1.5,1,0,5,7,0,6,1,1,2,0,4,0,29,NA
"Desserts","Hot Fudge Sundae","6.3 oz (179 g)",330,80,9,7,0,25,53,1,48,8,7,8,0,25,8,179,NA
"Desserts","Hot Caramel Sundae","6.4 oz (182 g)",340,70,8,5,0,30,60,0,43,7,6,10,0,25,0,182,NA
"Desserts","Strawberry Sundae","6.3 oz (178 g)",280,60,6,4,0,25,49,0,45,6,4,8,4,20,0,178,NA
"Beverages","Coca-Cola Classic (Small)","16 fl oz cup",140,0,0,0,0,0,39,0,39,0,0,0,0,0,0,54,"Small"
"Beverages","Coca-Cola Classic (Medium)","21 fl oz cup",200,0,0,0,0,0,55,0,55,0,0,0,0,0,0,71,"Medium"
"Beverages","Coca-Cola Classic (Large)","30 fl oz cup",280,0,0,0,0,0,76,0,76,0,0,0,0,0,0,101,"Large"
"Beverages","Coca-Cola Classic (Child)","12 fl oz cup",100,0,0,0,0,0,28,0,28,0,0,0,0,0,0,41,"Child"
"Beverages","Diet Coke (Small)","16 fl oz cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,"Small"
"Beverages","Diet Coke (Medium)","21 fl oz cup",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71,"Medium"
"Beverages","Diet Coke (Large)","30 fl oz cup",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101,"Large"
"Beverages","Diet Coke (Child)","12 fl oz cup",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,"Child"
"Beverages","Dr Pepper (Small)","16 fl oz cup",140,0,0,0,0,0,37,0,35,0,2,0,0,0,0,54,"Small"
"Beverages","Dr Pepper (Medium)","21 fl oz cup",190,0,0,0,0,0,53,0,51,0,3,0,0,0,0,71,"Medium"
"Beverages","Dr Pepper (Large)","30 fl oz cup",270,0,0,0,0,0,72,0,70,0,4,0,0,0,0,101,"Large"
"Beverages","Dr Pepper (Child)","12 fl oz cup",100,0,0,0,0,0,27,0,26,0,1,0,0,0,0,41,"Child"
"Beverages","Diet Dr Pepper (Small)","16 fl oz cup",0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,54,"Small"
"Beverages","Diet Dr Pepper (Medium)","21 fl oz cup",0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,71,"Medium"
"Beverages","Diet Dr Pepper (Large)","30 fl oz cup",0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,101,"Large"
"Beverages","Diet Dr Pepper (Child)","12 fl oz cup",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,41,"Child"
"Beverages","Sprite (Small)","16 fl oz cup",140,0,0,0,0,0,37,0,37,0,1,0,0,0,0,54,"Small"
"Beverages","Sprite (Medium)","21 fl oz cup",200,0,0,0,0,0,54,0,54,0,2,0,0,0,0,71,"Medium"
"Beverages","Sprite (Large)","30 fl oz cup",280,0,0,0,0,0,74,0,74,0,3,0,0,0,0,101,"Large"
"Beverages","Sprite (Child)","12 fl oz cup",100,0,0,0,0,0,27,0,27,0,1,0,0,0,0,41,"Child"
"Beverages","1% Low Fat Milk Jug","1 carton (236 ml)",100,20,2.5,1.5,0,10,12,0,12,8,5,10,4,30,0,236,NA
"Beverages","Fat Free Chocolate Milk Jug","1 carton (236 ml)",130,0,0,0,0,5,23,1,22,9,6,10,0,30,8,236,NA
"Beverages","Minute Maid 100% Apple Juice Box","6 fl oz (177 ml)",80,0,0,0,0,0,21,0,19,0,1,0,100,10,0,177,NA
"Beverages","Minute Maid Orange Juice (Small)","12 fl oz cup",150,0,0,0,0,0,34,0,30,2,0,0,130,2,0,41,"Small"
"Beverages","Minute Maid Orange Juice (Medium)","16 fl oz cup",190,0,0,0,0,0,44,0,39,3,0,0,160,4,0,54,"Medium"
"Beverages","Minute Maid Orange Juice (Large)","22 fl oz cup",280,0,0,0,0,0,65,0,58,4,0,0,240,4,0,74,"Large"
"Beverages","Dasani Water Bottle","16.9 fl oz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,NA
"Coffee & Tea","Iced Tea (Small)","16 fl oz cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,"Small"
"Coffee & Tea","Iced Tea (Medium)","21 fl oz cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,"Medium"
"Coffee & Tea","Iced Tea (Large)","30 fl oz cup",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101,"Large"
"Coffee & Tea","Iced Tea (Child)","12 fl oz cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"Child"
"Coffee & Tea","Sweet Tea (Small)","16 fl oz cup",150,0,0,0,0,0,36,0,36,1,0,0,0,0,0,54,"Small"
"Coffee & Tea","Sweet Tea (Medium)","21 fl oz cup",180,0,0,0,0,0,45,0,45,1,0,0,0,0,0,71,"Medium"
"Coffee & Tea","Sweet Tea (Large)","30 fl oz cup",220,0,0,0,0,0,54,0,54,1,1,0,0,0,0,101,"Large"
"Coffee & Tea","Sweet Tea (Child)","12 fl oz cup",110,0,0,0,0,0,27,0,27,0,0,0,0,0,0,41,"Child"
"Coffee & Tea","Coffee (Small)","12 fl oz cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"Small"
"Coffee & Tea","Coffee (Medium)","16 fl oz cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,"Medium"
"Coffee & Tea","Coffee (Large)","16 fl oz cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,"Large"
"Coffee & Tea","Latte (Small)","12 fl oz cup",170,80,9,5,0,25,15,1,12,9,5,8,0,30,0,41,"Small"
"Coffee & Tea","Latte (Medium)","16 fl oz cup",210,90,10,6,0,30,18,1,15,11,6,10,0,35,0,54,"Medium"
"Coffee & Tea","Latte (Large)","20 fl oz cup",280,120,14,8,0,40,24,1,20,15,8,15,0,50,2,68,"Large"
"Coffee & Tea","Caramel Latte (Small)","12 fl oz cup",270,80,9,5,0,25,40,1,38,9,5,8,0,30,0,41,"Small"
"Coffee & Tea","Caramel Latte (Medium)","16 fl oz cup",340,90,10,6,0,30,50,1,48,11,6,10,0,35,0,54,"Medium"
"Coffee & Tea","Caramel Latte (Large)","20 fl oz cup",430,120,14,8,0,40,62,1,59,15,8,15,0,50,2,68,"Large"
"Coffee & Tea","Hazelnut Latte (Small)","12 fl oz cup",270,80,9,5,0,25,40,1,38,9,5,8,0,30,0,41,"Small"
"Coffee & Tea","Hazelnut Latte (Medium)","16 fl oz cup",330,90,10,6,0,30,50,1,47,11,6,10,0,35,0,54,"Medium"
"Coffee & Tea","Hazelnut Latte (Large)","20 fl oz cup",430,120,14,8,0,40,62,1,58,15,8,15,0,50,2,68,"Large"
"Coffee & Tea","French Vanilla Latte (Small)","12 fl oz cup",260,80,9,5,0,25,38,1,36,9,5,8,0,30,0,41,"Small"
"Coffee & Tea","French Vanilla Latte (Medium)","16 fl oz cup",330,90,10,6,0,30,48,1,45,11,6,10,0,35,2,54,"Medium"
"Coffee & Tea","French Vanilla Latte (Large)","20 fl oz cup",420,120,14,8,0,40,60,1,56,15,8,15,0,50,2,68,"Large"
"Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Small)","12 fl oz cup",210,80,9,5,0,25,24,1,12,9,6,8,0,30,0,41,"Small"
"Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Medium)","16 fl oz cup",260,90,10,6,0,30,29,1,15,12,8,10,0,35,0,54,"Medium"
"Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Large)","20 fl oz cup",330,120,14,8,0,40,37,2,20,15,10,15,0,50,2,68,"Large"
"Coffee & Tea","Nonfat Latte (Small)","12 fl oz cup",100,0,0,0,0,5,15,1,13,10,5,10,0,30,0,41,"Small"
"Coffee & Tea","Nonfat Latte (Medium)","16 fl oz cup",130,0,0,0,0,5,19,1,16,12,6,15,0,40,0,54,"Medium"
"Coffee & Tea","Nonfat Latte (Large)","20 fl oz cup",170,0,0.5,0,0,10,25,1,21,16,7,15,0,50,2,68,"Large"
"Coffee & Tea","Nonfat Caramel Latte (Small)","12 fl oz cup",200,0,0,0,0,5,41,1,39,10,5,10,0,30,0,41,"Small"
"Coffee & Tea","Nonfat Caramel Latte (Medium)","16 fl oz cup",250,0,0,0,0,5,51,1,48,12,6,15,0,40,0,54,"Medium"
"Coffee & Tea","Nonfat Caramel Latte (Large)","20 fl oz cup",310,0,0.5,0,0,10,63,1,59,16,7,15,0,50,2,68,"Large"
"Coffee & Tea","Nonfat Hazelnut Latte (Small)","12 fl oz cup",200,0,0,0,0,5,40,1,38,10,5,10,0,30,0,41,"Small"
"Coffee & Tea","Nonfat Hazelnut Latte (Medium)","16 fl oz cup",250,0,0,0,0,5,51,1,48,12,6,15,0,40,0,54,"Medium"
"Coffee & Tea","Nonfat Hazelnut Latte (Large)","20 fl oz cup",310,0,0.5,0,0,10,63,1,59,16,7,15,0,50,2,68,"Large"
"Coffee & Tea","Nonfat French Vanilla Latte (Small)","12 fl oz cup",190,0,0,0,0,5,39,1,37,10,5,10,0,30,0,41,"Small"
"Coffee & Tea","Nonfat French Vanilla Latte (Medium)","16 fl oz cup",240,0,0,0,0,5,49,1,46,12,6,15,0,40,2,54,"Medium"
"Coffee & Tea","Nonfat French Vanilla Latte (Large)","20 fl oz cup",300,0,0.5,0,0,10,60,1,56,16,8,15,0,50,2,68,"Large"
"Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Small)","12 fl oz cup",140,0,0,0,0,5,24,1,13,10,6,10,0,30,0,41,"Small"
"Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Medium)","16 fl oz cup",170,0,0,0,0,5,30,1,16,12,8,15,0,40,0,54,"Medium"
"Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Large)","20 fl oz cup",220,0,0.5,0,0,10,38,2,21,16,10,15,0,50,2,68,"Large"
"Coffee & Tea","Mocha (Small)","12 fl oz cup",340,100,11,7,0,35,49,2,42,10,6,10,0,30,6,41,"Small"
"Coffee & Tea","Mocha (Medium)","16 fl oz cup",410,120,14,8,0,40,60,2,53,13,8,10,0,40,6,54,"Medium"
"Coffee & Tea","Mocha (Large)","20 fl oz cup",500,150,17,10,0.5,50,72,2,63,16,10,15,0,50,8,68,"Large"
"Coffee & Tea","Mocha with Nonfat Milk (Small)","12 fl oz cup",270,30,3.5,2,0,15,49,2,43,11,6,10,0,35,6,41,"Small"
"Coffee & Tea","Mocha with Nonfat Milk (Medium)","16 fl oz cup",330,30,3.5,2,0,15,60,2,53,13,8,15,0,40,6,54,"Medium"
"Coffee & Tea","Mocha with Nonfat Milk (Large)","20 fl oz cup",390,35,4,2.5,0,20,73,2,64,17,10,20,0,50,8,68,"Large"
"Coffee & Tea","Caramel Mocha (Small)","12 fl oz cup",320,100,11,7,0,35,45,1,40,10,7,10,0,30,2,41,"Small"
"Coffee & Tea","Caramel Mocha (Medium)","16 fl oz cup",390,120,14,8,0.5,40,55,1,50,12,9,15,0,40,2,54,"Medium"
"Coffee & Tea","Caramel Mocha (Large)","20 fl oz cup",480,150,17,10,0.5,50,66,1,60,16,11,15,0,50,4,68,"Large"
"Coffee & Tea","Nonfat Caramel Mocha (Small)","12 fl oz cup",250,30,3.5,2,0,15,45,1,41,10,7,10,0,35,2,41,"Small"
"Coffee & Tea","Nonfat Caramel Mocha (Medium)","16 fl oz cup",310,30,3.5,2,0,15,56,1,51,13,9,15,0,40,2,54,"Medium"
"Coffee & Tea","Nonfat Caramel Mocha (Large)","20 fl oz cup",370,35,3.5,2.5,0,20,67,1,61,17,11,20,0,50,4,68,"Large"
